match_id,inning,overs,ball,batsman,non_striker,bowler,batsman_runs,extra_runs,total_runs,non_boundary,is_wicket,dismissal_kind,player_dismissed,fielder,extras_type,batting_team,bowling_team
419157,2,16,4,V Kohli,R Vinay Kumar,CRD Fernando,0,0,0,0,0,NA,NA,NA,NA,Royal Challengers Bangalore,Mumbai Indians
419157,2,16,5,V Kohli,R Vinay Kumar,CRD Fernando,1,0,1,0,0,NA,NA,NA,NA,Royal Challengers Bangalore,Mumbai Indians
419157,2,16,6,R Vinay Kumar,V Kohli,CRD Fernando,1,0,1,0,0,NA,NA,NA,NA,Royal Challengers Bangalore,Mumbai Indians
419157,2,17,1,R Vinay Kumar,V Kohli,R McLaren,1,0,1,0,0,NA,NA,NA,NA,Royal Challengers Bangalore,Mumbai Indians
419157,2,17,2,V Kohli,R Vinay Kumar,R McLaren,1,0,1,0,0,NA,NA,NA,NA,Royal Challengers Bangalore,Mumbai Indians
419157,2,17,3,R Vinay Kumar,V Kohli,R McLaren,0,0,0,0,0,NA,NA,NA,NA,Royal Challengers Bangalore,Mumbai Indians
419157,2,17,4,R Vinay Kumar,V Kohli,R McLaren,0,0,0,0,0,NA,NA,NA,NA,Royal Challengers Bangalore,Mumbai Indians
419157,2,17,5,R Vinay Kumar,V Kohli,R McLaren,1,0,1,0,0,NA,NA,NA,NA,Royal Challengers Bangalore,Mumbai Indians
419157,2,17,6,V Kohli,R Vinay Kumar,R McLaren,1,0,1,0,0,NA,NA,NA,NA,Royal Challengers Bangalore,Mumbai Indians
419157,2,18,1,V Kohli,R Vinay Kumar,KA Pollard,4,0,4,0,0,NA,NA,NA,NA,Royal Challengers Bangalore,Mumbai Indians
419157,2,18,2,V Kohli,R Vinay Kumar,KA Pollard,0,0,0,0,1,caught,V Kohli,AP Tare,NA,Royal Challengers Bangalore,Mumbai Indians
419157,2,18,3,R Vinay Kumar,Pankaj Singh,KA Pollard,0,1,1,0,0,NA,NA,NA,wides,Royal Challengers Bangalore,Mumbai Indians
419157,2,18,4,R Vinay Kumar,Pankaj Singh,KA Pollard,1,0,1,0,0,NA,NA,NA,NA,Royal Challengers Bangalore,Mumbai Indians
419157,2,18,5,Pankaj Singh,R Vinay Kumar,KA Pollard,1,0,1,0,0,NA,NA,NA,NA,Royal Challengers Bangalore,Mumbai Indians
419157,2,18,6,R Vinay Kumar,Pankaj Singh,KA Pollard,1,0,1,0,0,NA,NA,NA,NA,Royal Challengers Bangalore,Mumbai Indians
419157,2,18,7,Pankaj Singh,R Vinay Kumar,KA Pollard,0,0,0,0,1,caught,Pankaj Singh,Z Khan,NA,Royal Challengers Bangalore,Mumbai Indians
419157,2,19,1,A Kumble,R Vinay Kumar,R McLaren,0,0,0,0,0,NA,NA,NA,NA,Royal Challengers Bangalore,Mumbai Indians
419157,1,0,1,R McLaren,SR Tendulkar,DW Steyn,1,0,1,0,0,NA,NA,NA,NA,Mumbai Indians,Royal Challengers Bangalore
419157,1,0,2,SR Tendulkar,R McLaren,DW Steyn,0,0,0,0,0,NA,NA,NA,NA,Mumbai Indians,Royal Challengers Bangalore
419157,1,0,3,SR Tendulkar,R McLaren,DW Steyn,1,0,1,0,0,NA,NA,NA,NA,Mumbai Indians,Royal Challengers Bangalore
419157,1,0,4,R McLaren,SR Tendulkar,DW Steyn,1,0,1,0,0,NA,NA,NA,NA,Mumbai Indians,Royal Challengers Bangalore
