venue_id,venue,city
1,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Visakhapatnam
2,Sharjah Cricket Stadium,Sharjah
3,JSCA International Stadium Complex,Ranchi
4,Saurashtra Cricket Association Stadium,Rajkot
5,Shaheed Veer Narayan Singh International Stadium,Raipur
6,Maharashtra Cricket Association Stadium,Pune
7,Subrata Roy Sahara Stadium,Pune
8,St George's Park,Port Elizabeth
9,"Vidarbha Cricket Association Stadium, Jamtha",Nagpur
12,Brabourne Stadium,Mumbai
13,Dr DY Patil Sports Academy,Mumbai
14,Wankhede Stadium,Mumbai
15,Eden Gardens,Kolkata
16,Nehru Stadium,Kochi
17,De Beers Diamond Oval,Kimberley
18,Green Park,Kanpur
19,New Wanderers Stadium,Johannesburg
20,Sawai Mansingh Stadium,Jaipur
21,Holkar Cricket Stadium,Indore
22,"Rajiv Gandhi International Stadium, Uppal",Hyderabad
23,Buffalo Park,East London
24,Kingsmead,Durban
25,Dubai International Cricket Stadium,Dubai
26,Himachal Pradesh Cricket Association Stadium,Dharamsala
27,Feroz Shah Kotla,Delhi
28,Barabati Stadium,Cuttack
29,"MA Chidambaram Stadium, Chepauk",Chennai
30,"Punjab Cricket Association IS Bindra Stadium, Mohali",Chandigarh
31,"Punjab Cricket Association Stadium, Mohali",Chandigarh
32,SuperSport Park,Centurion
33,Newlands,Cape Town
34,OUTsurance Oval,Bloemfontein
35,M.Chinnaswamy Stadium,Bengaluru
37,"Sardar Patel Stadium, Motera",Ahmedabad
38,Sheikh Zayed Stadium,Abu Dhabi
